,address,listingby,price,beds,baths,sqft,building_type,price/sqft
0,"956 Valencia St. | 956 Valencia St, San Francisco, CA",NaN,"$4,595+ 4 bds",NaN,NaN,NaN,NaN,NaN
1,"333 Main St UNIT 4J, San Francisco, CA 94105",NaN,"$3,650/mo",1 bd,1 ba,815 sqft,- Apartment for rent,NaN
2,"1271 10th Ave, San Francisco, CA 94122",NaN,"$4,900/mo",3 bds,1.5 ba,"1,675 sqft",- Apartment for rent,NaN
3,"2027 Market St APT 9, San Francisco, CA 94114",NaN,"$4,200/mo",2 bds,2 ba,"1,032 sqft",- Condo for rent,NaN
4,"161 Broderick St #3, San Francisco, CA 94117",NaN,"$2,795/mo",1 bd,1 ba,910 sqft,- Apartment for rent,NaN
5,"1755 Filbert St APT 1D, San Francisco, CA 94123",NaN,"$4,200/mo",1 bd,1 ba,"1,000 sqft",- Apartment for rent,NaN
6,"3070 California St, San Francisco, CA",NaN,"$3,000+ 2 bds",NaN,NaN,NaN,NaN,NaN
7,"198 Hancock St #A, San Francisco, CA 94114",NaN,"$2,250/mo",1 bd,1 ba,500 sqft,- Apartment for rent,NaN
8,"1160 Mission St, San Francisco, CA",NaN,"$3,000+ 1 bd","$4,980 3 bds",NaN,NaN,NaN,NaN
9,"47 Oakwood St, San Francisco, CA 94110",NaN,"$3,600/mo",2 bds,1 ba,-- sqft,- Apartment for rent,NaN
10,"969 Hampshire St #A, San Francisco, CA 94110",NaN,"$4,500/mo",2 bds,1 ba,"1,322 sqft",- Apartment for rent,NaN
11,"253 Collingwood St, San Francisco, CA 94114",NaN,"$24,995/mo",5 bds,4 ba,"4,015 sqft",- House for rent,NaN
12,"(undisclosed Address), San Francisco, CA 94115",NaN,"$7,000/mo",4 bds,2 ba,"1,500 sqft",- Apartment for rent,NaN
13,"125 3rd Ave APT 1, San Francisco, CA 94118",NaN,"$1,400/mo",1 bd,1 ba,750 sqft,- Apartment for rent,NaN
14,"2851 Fillmore St #7, San Francisco, CA 94123",NaN,"$2,400/mo",Studio,1 ba,350 sqft,- Apartment for rent,NaN
15,"1225 Bay St, San Francisco, CA",NaN,"$2,750+ 1 bd",NaN,NaN,NaN,NaN,NaN
16,"2117 Pierce St, San Francisco, CA 94115",NaN,"$2,795/mo",1 bd,1 ba,-- sqft,- Apartment for rent,NaN
17,"200 Brannan St APT 322, San Francisco, CA 94107",NaN,"$6,250/mo",3 bds,2 ba,"2,042 sqft",- Apartment for rent,NaN
18,"1247 Harrison St APT 21, San Francisco, CA 94103",NaN,"$3,500/mo",1 bd,1.5 ba,"1,089 sqft",- Apartment for rent,NaN
19,"71 Harper St, San Francisco, CA 94131",NaN,"$2,500/mo",1 bd,1 ba,-- sqft,- Apartment for rent,NaN
20,"900 Bush St, San Francisco, CA",NaN,"$2,500+ 1 bd",NaN,NaN,NaN,NaN,NaN
21,"2146 Van Ness Ave #7, San Francisco, CA 94109",NaN,"$2,195/mo",1 bd,1 ba,-- sqft,- Apartment for rent,NaN
