,address,listingby,price,beds,baths,sqft,building_type,price/sqft
0,"480 Mission Bay Blvd #1008, San Francisco, CA 94158","COMPASS, Robyn L. Kaufman",$1.91M,2 bds,2 ba,"1,361 sqft",- Sold,
1,"152 Lombard St APT 403, San Francisco, CA 94111","COMPASS, Gail Y. Grendahl",$1.12M,2 bds,2 ba,"1,272 sqft",- Sold,
2,"109 S Lake Merced Hls APT 3C, San Francisco, CA 94132","REDFIN, Joanna A. Rose","$846,000",2 bds,2 ba,"1,247 sqft",- Sold,
3,"3620 Cesar Chavez St #404, San Francisco, CA 94110","VANGUARD PROPERTIES, Massimo F. Loporto",$1.27M,2 bds,2 ba,"1,038 sqft",- Sold,
4,"65 Joost Ave, San Francisco, CA 94131","VANGUARD PROPERTIES, Allison Chapleau",$1.02M,-- bds,-- ba,"1,869 sqft",- Sold,
5,"570 Page St APT 4, San Francisco, CA 94117","VANGUARD PROPERTIES, Carlos D. Cabarcos",$1.51M,2 bds,3 ba,"1,346 sqft",- Sold,
6,"460 Francisco St APT 302, San Francisco, CA 94133","COLDWELL BANKER REALTY, Steve Gallagher","$715,000",1 bd,1 ba,585 sqft,- Sold,
7,"1200 Gough St UNIT 7F, San Francisco, CA 94109",NaN,"$789,000",1 bd,1 ba,840 sqft,- Sold,
8,"201 Harrison St UNIT 806, San Francisco, CA 94105",NaN,"$540,000",Studio,1 ba,432 sqft,- Sold,
9,"2284 Cayuga Ave, San Francisco, CA 94112",NaN,$1.30M,3 bds,1 ba,"1,300 sqft",- Sold,
10,"20 Powers Ave, San Francisco, CA 94110","COMPASS, Michael Freethy",$1.55M,4 bds,2 ba,"2,510 sqft",- Sold,
11,"829 Folsom St UNIT 516, San Francisco, CA 94107","COMPASS, Omar Abu-Hajar",$1.26M,2 bds,2 ba,924 sqft,- Sold,
12,"762 29th Ave, San Francisco, CA 94121",NaN,$2.25M,3 bds,3 ba,"1,804 sqft",- Sold,
13,"175 Bluxome St UNIT 220, San Francisco, CA 94107","PACIFICA REAL ESTATE, Michael A. Leonardo","$780,000",2 bds,1 ba,-- sqft,- Sold,
14,"400 Beale St APT 1202, San Francisco, CA 94105","INTERO REAL ESTATE SERVICES, Olivera Jusufagic","$780,000",1 bd,1 ba,675 sqft,- Sold,
15,"170 Pfeiffer St, San Francisco, CA 94133","CORCORAN GLOBAL LIVING, David W. Gowan",$4.40M,6 bds,5 ba,"4,015 sqft",- Sold,
16,"1377 Post St APT 306, San Francisco, CA 94109","RESIDENTIAL AGENT, INC.",$1.09M,3 bds,3 ba,"1,448 sqft",- Sold,
17,"7 Edna St, San Francisco, CA 94112","CORCORAN GLOBAL LIVING, Sandra  Onken Fiek",$1.07M,2 bds,1 ba,915 sqft,- Sold,
18,"1738 Lombard St APT 8, San Francisco, CA 94123","SOTHEBY'S INTERNATIONAL REALTY, Mary Lou Castellanos",$1.80M,3 bds,3 ba,"1,717 sqft",- Sold,
19,"1944 Bush St, San Francisco, CA 94115","COMPASS, Trim T. Wellbeloved",$2.48M,4 bds,2 ba,"2,130 sqft",- Sold,
20,"1332 A South Van Ness Ave #1334, San Francisco, CA 94110","CORCORAN GLOBAL LIVING, Daniel R. Fernandez",$2.17M,6 bds,2 ba,"2,599 sqft",- Sold,
21,"766 30th Ave, San Francisco, CA 94121","COMPASS, Brandon S. Chen",$3.30M,6 bds,5 ba,"3,642 sqft",- Sold,
22,"200 Brannan St APT 405, San Francisco, CA 94107","CORCORAN GLOBAL LIVING, Donna Solen",$1.61M,2 bds,2 ba,"1,500 sqft",- Sold,
23,"545 Ashbury St APT 2, San Francisco, CA 94117","REDFIN, Joanna A. Rose","$865,000",1 bd,1 ba,-- sqft,- Sold,
24,"770 Capp St #772, San Francisco, CA 94110","CORCORAN GLOBAL LIVING, Jason S. Tam",$1.88M,6 bds,3 ba,"2,184 sqft",- Sold,
25,"1835 19th Ave #B, San Francisco, CA 94122","COMPASS, Gillian Toboni",$1.62M,5 bds,4 ba,"2,747 sqft",- Sold,
26,"2068 3rd St APT 16, San Francisco, CA 94107","THE SOURCE REAL ESTATE COMPANY, David Anderson",$1.32M,2 bds,3 ba,-- sqft,- Sold,
27,"268 Lombard St APT 4, San Francisco, CA 94133","SOTHEBY'S INTERNATIONAL REALTY, Marla Moresi-Valdes",$1.30M,1 bd,1 ba,832 sqft,- Sold,
28,"1901 Scott St, San Francisco, CA 94115","SOTHEBY'S INTERNATIONAL REALTY, Stacey E. Caen",$13.0M,5 bds,7 ba,-- sqft,- Sold,
29,"2983 21st St #B, San Francisco, CA 94110","COMPASS, Claudia L. Siegel","$445,000",1 bd,1 ba,-- sqft,- Sold,
30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
31,"401 Sloat Blvd, San Francisco, CA 94132","CORCORAN GLOBAL LIVING, Pat Rock",$1.96M,3 bds,2 ba,"2,228 sqft",- Sold,
32,"2267 39th Ave, San Francisco, CA 94116","WIENER & ASSOC./A. LEWIN PROP., Michael L. Lewin",$1.56M,2 bds,1 ba,"1,137 sqft",- Sold,
33,"1183 Munich St, San Francisco, CA 94112","GENERATION REAL ESTATE, Lamisse Droubi",$1.41M,2 bds,1 ba,"1,272 sqft",- Sold,
34,"555 Moultrie St, San Francisco, CA 94110","COMPASS SF, Mary Macpherson",$1.82M,4 bds,2 ba,"1,415 sqft",- Sold,
35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
40,"119 Buena Vista Ter, San Francisco, CA 94117","CORCORAN GLOBAL LIVING, Tim J. Gullicksen",$1.85M,2 bds,2 ba,"1,115 sqft",- Sold,
41,"1998 Broadway St #706, San Francisco, CA 94109","COMPASS SF, Travis C. Hale",$1.55M,2 bds,2 ba,"1,170 sqft",- Sold,
42,"2983 21st St #B, San Francisco, CA 94110","COMPASS, Claudia L. Siegel","$445,000",1 bd,1 ba,-- sqft,- Sold,
43,"1914 Funston Ave, San Francisco, CA 94116",NaN,$2.35M,4 bds,3 ba,"2,127 sqft",- Sold,
44,"3375 17th St APT 308, San Francisco, CA 94110","COMPASS, Jessica Branson",$1.20M,1 bd,2 ba,"1,294 sqft",- Sold,
45,"8 Mateo St, San Francisco, CA 94131","COMPASS, Jessica Branson",$2.17M,3 bds,3 ba,-- sqft,- Sold,
46,"1626 21st Ave, San Francisco, CA 94122","BERKSHIRE HATHAWAY-FRANCISCAN, Andrew de Vries",$1.85M,3 bds,2 ba,"2,033 sqft",- Sold,
47,"515 12th Ave, San Francisco, CA 94118","COMPASS SF, Scott Whelan",$1.95M,2 bds,2 ba,"1,825 sqft",- Sold,
48,"2346 41st Ave, San Francisco, CA 94116",NaN,$1.68M,3 bds,2 ba,"1,174 sqft",- Sold,
49,"1000 3rd St UNIT 713, San Francisco, CA 94158","SKYBOX REALTY, Vi N. Pavlicevich",$1.20M,2 bds,2 ba,"1,004 sqft",- Sold,
50,"1177 California St APT 1525, San Francisco, CA 94108","COMPASS SF, Ric A. Rocchiccioli","$900,000",1 bd,1 ba,653 sqft,- Sold,
51,"425 14th St APT 2, San Francisco, CA 94103","CORCORAN GLOBAL LIVING, Vanessa R. Gamp",$1.20M,2 bds,2 ba,"1,099 sqft",- Sold,
52,"109 Willard North St #111, San Francisco, CA 94118","BARBCO, Paul Barbagelata",$2.00M,4 bds,2 ba,"2,130 sqft",- Sold,
53,"1310 Fillmore St APT 701, San Francisco, CA 94115","NORCAL REALTY, Yu Ying Huang",$1.30M,3 bds,3 ba,"1,513 sqft",- Sold,
54,"70 Heather Ave #70, San Francisco, CA 94118","HARPER REAL ESTATE, Anthony R. Navarro",$1.15M,1 bd,1 ba,870 sqft,- Sold,
55,"401 Harrison St APT 18B, San Francisco, CA 94105","COMPASS, Denise L. Paulson",$1.75M,2 bds,2 ba,"1,311 sqft",- Sold,
56,"57 Blair Ter, San Francisco, CA 94107","COMPASS SF, Ric A. Rocchiccioli",$1.18M,3 bds,1 ba,"1,109 sqft",- Sold,
57,"4761 18th St, San Francisco, CA 94114","COMPASS SF, Ruth Krishnan",$1.60M,2 bds,1 ba,"1,245 sqft",- Sold,
58,"1901 Scott St, San Francisco, CA 94115","SOTHEBY'S INTERNATIONAL REALTY, Stacey E. Caen",$13.0M,5 bds,7 ba,-- sqft,- Sold,
59,"128 Elsie St, San Francisco, CA 94110","VANGUARD PROPERTIES, Catherine Watson",$4.0M,4 bds,5 ba,-- sqft,- Sold,
60,"451 Kansas St UNIT 402, San Francisco, CA 94107","HOME QUEST REALTY, Robert  Belli","$399,233",1 bd,1 ba,656 sqft,- Sold,
61,"700 Victoria St, San Francisco, CA 94127",NaN,$2.25M,3 bds,2 ba,"2,075 sqft",- Sold,
62,"1700 Funston Ave, San Francisco, CA 94122",NaN,$1.7M,-- bds,-- ba,"2,506 sqft",- Sold,
63,"364 17th Ave, San Francisco, CA 94121","COMPASS SF, Helena Zaludova",$3.5M,4 bds,3 ba,"2,405 sqft",- Sold,
64,"1593 Treat Ave, San Francisco, CA 94110","KINDRED SF HOMES, Shelly L. Sutherland",$1.51M,2 bds,1 ba,"1,130 sqft",- Sold,
65,"3471 Mission St #3475, San Francisco, CA 94110","MARCUS & MILLICHAP, Joseph V. Levy",$2.03M,6 bds,3 ba,"4,125 sqft",- Sold,
66,"3095 23rd Ave, San Francisco, CA 94132","COMPASS, Richard B. Teed",$3.1M,6 bds,3 ba,"3,365 sqft",- Sold,
67,"278 Monterey Blvd, San Francisco, CA 94131","COMPASS SF, Pete Brannigan",$1.3M,3 bds,3 ba,"1,776 sqft",- Sold,
68,"212 Putnam St, San Francisco, CA 94110","SOTHEBY'S INTERNATIONAL REALTY, Robert R. Callan Jr.","$875,000",Studio,-- ba,-- sqft,- Sold,
69,"1814 Webster St #1816, San Francisco, CA 94115","COLDWELL BANKER REALTY, Dona Crowder",$2.2M,4 bds,3 ba,"2,390 sqft",- Sold,
70,"1439 Page St, San Francisco, CA 94117","COMPASS, Judson B. Gregory",$1.95M,3 bds,2 ba,"1,924 sqft",- Sold,
71,"109 S Lake Merced Hls APT 2B, San Francisco, CA 94132","PARK NORTH REAL ESTATE, Tim Hawko","$805,000",3 bds,2 ba,"1,474 sqft",- Sold,
72,"24 Woodland Ave #A, San Francisco, CA 94117","COMPASS, Gillian S. Pontes",$1.95M,4 bds,3 ba,-- sqft,- Sold,
73,"24 Woodland Ave, San Francisco, CA 94117","COMPASS, Gillian S. Pontes",$1.8M,3 bds,2 ba,-- sqft,- Sold,
74,"3190 Scott St APT 302, San Francisco, CA 94123","COMPASS, Vanessa Kitchen",$1.45M,2 bds,2 ba,"1,037 sqft",- Sold,
75,"1010 Silliman St, San Francisco, CA 94134","COMPASS, Karen Mendelsohn Gould",$2.15M,5 bds,4 ba,"2,417 sqft",- Sold,
76,"75 Folsom St APT 800, San Francisco, CA 94105","SKYBOX REALTY, Paul Hwang","$959,500",1 bd,1 ba,"1,019 sqft",- Sold,
77,"1767 43rd Ave, San Francisco, CA 94122",NaN,$1.3M,3 bds,2 ba,"1,525 sqft",- Sold,
78,"175 28th St, San Francisco, CA 94131","CORCORAN GLOBAL LIVING, Steve M. Dells",$2.6M,6 bds,4 ba,"3,630 sqft",- Sold,
79,"135 Hearst Ave, San Francisco, CA 94131","SEQUOIA REAL ESTATE, Kalok Law",$1.34M,2 bds,1 ba,-- sqft,- Sold,
80,"70 Cerritos Ave, San Francisco, CA 94127","COMPASS, Marianne Bacigalupi Schier",$3.23M,5 bds,3 ba,"3,397 sqft",- Sold,
81,"201 Harrison St APT 405, San Francisco, CA 94105","THE CANLAS BROTHERS, Neil  Canlas","$600,000",1 bd,1 ba,544 sqft,- Sold,
82,"250 Clara St UNIT 15, San Francisco, CA 94107","CORCORAN GLOBAL LIVING, Ronald B. Whitney","$840,000",1 bd,2 ba,864 sqft,- Sold,
83,"55 Red Rock Way APT 107O, San Francisco, CA 94131",NaN,"$612,000",-- bds,1 ba,592 sqft,- Sold,
84,"300 Ivy St APT 513, San Francisco, CA 94102",NaN,"$925,000",1 bd,1 ba,677 sqft,- Sold,
85,"2831 Kirkham St, San Francisco, CA 94122","BARBCO, Jason C. Chan",$1.83M,3 bds,2 ba,"1,828 sqft",- Sold,
86,"530 Chestnut St #C308, San Francisco, CA 94133","HATCH REALTY GROUP, INC., Andrea Vanessa Trucios West",$1.41M,2 bds,2 ba,"1,313 sqft",- Sold,
87,"1521 Sutter St APT 307, San Francisco, CA 94109","LEFT COAST PROPERTIES, Ivan T. Fujinaka",$1.10M,2 bds,2 ba,957 sqft,- Sold,
88,"435 China Basin St UNIT 218, San Francisco, CA 94158","COMPASS, Dianne M. Hartnett","$968,000",1 bd,1 ba,838 sqft,- Sold,
89,"2148 Union St #2, San Francisco, CA 94123","VANGUARD PROPERTIES, Frank A. Nolan",$1.43M,2 bds,2 ba,-- sqft,- Sold,
90,"262 Missouri St, San Francisco, CA 94107","COMPASS, Mimi A. Bruce",$1.80M,6 bds,3 ba,"3,630 sqft",- Sold,
