,address,zip,building_type,price,beds,baths,sqft,agent,brokerage
0,480 Mission Bay Blvd #1008,94158,- Sold,1.91M,2 ,2 ,1361 , Robyn L. Kaufman,COMPASS
1,152 Lombard St APT 403,94111,- Sold,1.12M,2 ,2 ,1272 , Gail Y. Grendahl,COMPASS
2,109 S Lake Merced Hls APT 3C,94132,- Sold,846000,2 ,2 ,1247 , Joanna A. Rose,REDFIN
3,3620 Cesar Chavez St #404,94110,- Sold,1.27M,2 ,2 ,1038 , Massimo F. Loporto,VANGUARD PROPERTIES
4,65 Joost Ave,94131,- Sold,1.02M,-- ,-- ,1869 , Allison Chapleau,VANGUARD PROPERTIES
5,570 Page St APT 4,94117,- Sold,1.51M,2 ,3 ,1346 , Carlos D. Cabarcos,VANGUARD PROPERTIES
6,460 Francisco St APT 302,94133,- Sold,715000,1 ,1 ,585 , Steve Gallagher,COLDWELL BANKER REALTY
7,1200 Gough St UNIT 7F,94109,- Sold,789000,1 ,1 ,840 ,0,0
8,201 Harrison St UNIT 806,94105,- Sold,540000,Studio,1 ,432 ,0,0
9,2284 Cayuga Ave,94112,- Sold,1.30M,3 ,1 ,1300 ,0,0
10,20 Powers Ave,94110,- Sold,1.55M,4 ,2 ,2510 , Michael Freethy,COMPASS
11,829 Folsom St UNIT 516,94107,- Sold,1.26M,2 ,2 ,924 , Omar Abu-Hajar,COMPASS
12,762 29th Ave,94121,- Sold,2.25M,3 ,3 ,1804 ,0,0
13,175 Bluxome St UNIT 220,94107,- Sold,780000,2 ,1 ,0 , Michael A. Leonardo,PACIFICA REAL ESTATE
14,400 Beale St APT 1202,94105,- Sold,780000,1 ,1 ,675 , Olivera Jusufagic,INTERO REAL ESTATE SERVICES
15,170 Pfeiffer St,94133,- Sold,4.40M,6 ,5 ,4015 , David W. Gowan,CORCORAN GLOBAL LIVING
16,1377 Post St APT 306,94109,- Sold,1.09M,3 ,3 ,1448 , INC.,RESIDENTIAL AGENT
17,7 Edna St,94112,- Sold,1.07M,2 ,1 ,915 , Sandra  Onken Fiek,CORCORAN GLOBAL LIVING
18,1738 Lombard St APT 8,94123,- Sold,1.80M,3 ,3 ,1717 , Mary Lou Castellanos,SOTHEBY'S INTERNATIONAL REALTY
19,1944 Bush St,94115,- Sold,2.48M,4 ,2 ,2130 , Trim T. Wellbeloved,COMPASS
20,1332 A South Van Ness Ave #1334,94110,- Sold,2.17M,6 ,2 ,2599 , Daniel R. Fernandez,CORCORAN GLOBAL LIVING
21,766 30th Ave,94121,- Sold,3.30M,6 ,5 ,3642 , Brandon S. Chen,COMPASS
22,200 Brannan St APT 405,94107,- Sold,1.61M,2 ,2 ,1500 , Donna Solen,CORCORAN GLOBAL LIVING
23,545 Ashbury St APT 2,94117,- Sold,865000,1 ,1 ,0 , Joanna A. Rose,REDFIN
24,770 Capp St #772,94110,- Sold,1.88M,6 ,3 ,2184 , Jason S. Tam,CORCORAN GLOBAL LIVING
